year,month,SD_70,SL_70,SL_70_log10,fyear_CS,monthly_sunspots,std,observations,date,smoothed_sunspots,cycle,SD_70*10,proton_density,proton_temp,He4toprotons,proton_speed,PC1,PC2
2008,11,8.331026,32.526993,1.5122439162216286,2008.874,6.6,2.4,445,2008-11-01,16.48,24,83.31026,3.104440528634361,104696.23788546256,0.013152422907488985,495.70691629955945,0.6764405104217331,-0.61788584962895
2008,12,7.446652,36.1656025,1.5523470768464376,2008.958,1.0,2.0,480,2008-12-01,16.83,24,74.46652,3.557535519125683,101239.96721311475,0.011961748633879781,472.9192349726776,0.4540663493692867,-0.7160372195100061
2009,1,7.08212,27.239452,1.4351983662447847,2009.042,1.3,2.0,317,2009-01-01,17.35666666666667,24,70.8212,5.7158158567774935,61079.37851662404,0.011992583120204603,400.52588235294115,-0.6026368878607723,-0.8433647638459515
2009,2,7.779414,32.128075,1.5068847049501255,2009.123,1.2,2.2,385,2009-02-01,18.061666666666667,24,77.79414,5.797012315270936,70080.4039408867,0.01823423645320197,420.7344581280788,-0.40921618895451356,-0.5736251055310563
2009,3,7.364415,29.337233,1.4674191500832803,2009.204,0.6,2.0,523,2009-03-01,18.811666666666667,24,73.64415,4.006922716627634,66858.5269320843,0.02536135831381733,427.9388992974239,-0.27979672476352874,-0.11954069592124106
2009,4,6.893572,23.710043,1.3749323416055939,2009.288,1.2,2.2,586,2009-04-01,20.418333333333333,24,68.93572,3.384603715170279,74420.5294117647,0.026529411764705885,444.02065015479883,-0.05183113794589375,-0.02624905317105661
2009,5,5.525854,24.014225,1.3804685754157666,2009.371,2.9,2.4,610,2009-05-01,22.265,24,55.258539999999996,3.3940639999999997,76160.8,0.030784,446.97232,-0.03373867496546444,0.16037456502875538
2009,6,7.090549,28.849546,1.4601389831331302,2009.455,6.3,2.7,623,2009-06-01,23.988333333333333,24,70.90549,4.406343065693431,75639.34817518247,0.012234306569343064,443.9820437956204,-0.05912428753785849,-0.7329813095030016
2009,7,6.453027,33.096474,1.5197817277965175,2009.538,5.5,2.6,671,2009-07-01,25.438333333333336,24,64.53027,4.994369897959183,69695.40663265306,0.018586479591836735,420.4141326530612,-0.3536590872842425,-0.5016859005523001
2009,8,6.034717,27.27879,1.4358251024955264,2009.623,0.0,2.0,691,2009-08-01,26.52333333333333,24,60.34717,5.366056201550387,65169.716860465116,0.018508527131782946,412.2626550387597,-0.48242168698509885,-0.5285620778188579
2009,9,3.5444765,14.9056125,1.164707485166841,2009.707,7.1,2.2,628,2009-09-01,27.013333333333332,24,35.444765000000004,3.703443925233645,56525.92289719626,0.019480841121495326,417.4157009345795,-0.4023746522819275,-0.34562043492749495
2009,10,4.151577,11.625447,1.065409660564246,2009.79,7.7,2.7,564,2009-10-01,28.336666666666666,24,41.515769999999996,4.866698979591837,54676.66836734694,0.01966734693877551,395.3944897959184,-0.6657632105676161,-0.4350317403664448
2009,11,8.669016,133.703186,2.126141756145557,2009.874,6.9,3.2,452,2009-11-01,29.67833333333333,24,86.69015999999999,3.953414772727273,79395.86363636363,0.02014659090909091,432.08312500000005,-0.1050142444809747,-0.3709520501682743
2009,12,12.150626,54.9879,1.740267134196757,2009.958,16.3,3.5,415,2009-12-01,30.961666666666662,24,121.50626000000001,5.67958125,50360.25625,0.00964,375.0965,-0.869113591685186,-0.9451444806781308
2010,1,15.776945,405.591797,2.608089162908957,2010.042,19.5,2.5,413,2010-01-01,32.14,24,157.76945,5.616485436893203,62101.935275080905,0.018280258899676376,397.937572815534,-0.6302641041932306,-0.5628261086294384
2010,2,14.569946,106.024872,2.025407756824016,2010.123,28.5,2.7,376,2010-02-01,33.556666666666665,24,145.69946,4.58496551724138,55690.80482758621,0.016066896551724136,403.82055172413794,-0.5596895463586885,-0.5691206690650873
2010,3,14.819244,99.213242,1.9965696413449436,2010.204,24.0,3.6,564,2010-03-01,34.973333333333336,24,148.19244,5.006787781350483,77865.93247588424,0.018736655948553053,422.1316398713826,-0.2656074626117499,-0.5126303962766586
2010,4,13.139888,123.039017,2.0900428527468464,2010.288,10.4,3.3,592,2010-04-01,36.468333333333334,24,131.39888,3.3568254545454543,97185.50945454546,0.04012109090909091,501.0283636363636,0.5062690960110505,0.5806227624446815
2010,5,12.174863,231.477829,2.364509400519997,2010.371,13.9,3.4,573,2010-05-01,37.718333333333334,24,121.74863,2.501,202367.62777777776,0.034772222222222225,648.2327777777778,2.624177255063471,0.30707560717509524
2010,6,10.169064500000001,87.3763945,1.921267673977097,2010.455,18.8,3.0,600,2010-06-01,39.13166666666667,24,101.69064500000002,4.61580078125,97716.703125,0.032997265625,458.7676953125,0.14817547433838002,0.13624346969131867
2010,7,14.065017,188.01149,2.2741843912376956,2010.538,25.2,3.4,718,2010-07-01,39.79,24,140.65017,3.773875757575757,72801.5090909091,0.03308666666666667,456.0425757575757,-0.04206488334419707,0.25212727400350826
2010,8,12.556593,128.771652,2.109820267255182,2010.623,29.6,3.4,689,2010-08-01,41.32333333333333,24,125.56593,2.972888888888889,70345.50724637682,0.03544589371980676,454.50801932367153,-0.023446127628214842,0.4163135663658282
2010,9,14.395285,490.165558,2.6903427918282334,2010.707,36.4,4.0,505,2010-09-01,42.29,24,143.95284999999998,4.733116666666667,68494.08333333333,0.015065,429.69350000000003,-0.2646383835807002,-0.6279082253128664
